floornum,replytime,user,content,liang
36楼,2018-04-23 11:17,牛顿说詹在巨人肩膀上,骑士全队在强行给鲈鱼续命，这是一场团队玩了命的胜利不管是状态好还是状态不好的，每个人都有一种把命豁出去了的拼劲儿，才换来了这场艰难的胜利然后老詹又打了46分钟，越来越久鲈鱼你可长点心吧,1
37楼,2018-04-23 11:17,137321850,骑士：感谢今晚最大功臣奥拉迪波在关键时刻献上的一次次当当当当当当。。。。,3
38楼,2018-04-23 11:17,阿克伦扛把子,连续两场16分及以上的领先被反超，卢指导排兵布阵功不可没蜜汁第三节看的我一脸懵逼，上半场拉开分差的双内线就是不用，我就要用五小，篮板被爆？不存在的，骑三崩？也不存在的，五小一定可以赢一场的~师弟还是少耍点小聪明吧，不过有一说一，师弟身上的激情正好是骑士们所缺乏的最后还是恭喜骑士扳平比分，星期四七点见吧ps，克6上半场5中5，让放板凳上，等手感冷却了再上场，最终9中5,13
39楼,2018-04-23 11:17,CrashBone,终于等来关键时刻的杰伦老师，第四节末段詹科联手带走比赛！死里逃生，又夺回主场优势了。,1
40楼,2018-04-23 11:17,黑水爵士波隆,虽然赢了，我依然看得很难受我只希望不要再看到鲈鱼下赛季希望我的主队里不要有他了这球换一个教练最起码3-1领先，说不定都横扫了,3
41楼,2018-04-23 11:17,louislaw,詹科牛逼，天下第一詹科联手，天下我有詹科合体，天下无敌,1
42楼,2018-04-23 11:17,jootoo8,举世瞩目的大战 却被杰伦老师轻易化解！,2
44楼,2018-04-23 11:17,yo655321,三分来的太快，就像是龙卷风。老詹牛逼，心疼！,1
45楼,2018-04-23 11:17,马可_富尔茨,詹 科 联 手，天 下 我 有 詹：秒准了吗？科 ：瞄准了。詹：好  开炮！PS：没有科的两个三分今天估计真凉了PSS： 詹姆斯上了46分钟 ， cnm太能撸,3
46楼,2018-04-23 11:17,MVP养生詹,卢：打44分钟不会是常态 嗯，反手就是一个46分钟,2
47楼,2018-04-23 11:17,疯狂的麦克斯4,若干年后，茫茫人海中，詹姆斯在一条长街上偶遇到了鲈，         然后像突发恶疾一般的脱水晕倒了······  本故事实属虚构，如有雷同都特么赖鲈,8
48楼,2018-04-23 11:17,东风乱舞,关键时刻，当你有詹科组合的时候，是很难输球的,2
49楼,2018-04-23 11:17,马桶怪客,张指导是真的烦。。。,4
50楼,2018-04-23 11:17,逛虎扑刘皇叔,为啥我破骑的比赛场场打得跟16G7样的,4
51楼,2018-04-23 11:17,KD论,1111111111111,1
53楼,2018-04-23 11:17,抬望眼那年花开,卢，论命硬独一档！,0
54楼,2018-04-23 11:17,苏亚梅西罗,有马胜无马！,0
55楼,2018-04-23 11:17,多弗拉A梦,科沃尔真大腿，皇帝一如既往的稳定，奥拉迪波除了前两场以外表现都比较烂，看来首轮还有的打；另外谁说卢指导没有战术，对付持球能力的控卫绝对有一套（这都是库日天的功劳txtxtxtx）,0
57楼,2018-04-23 11:17,森金的清晨,恭喜鲈鱼，命又续上了,0
58楼,2018-04-23 11:17,huazizi510,詹姆斯才打了46分钟，下场48分钟吧,0
59楼,2018-04-23 11:17,胡龍貓,引用4楼 @打酱油de麦 发表的:詹科联手，拯救了骑士！老汉：首轮就想让我1:3？不存在的~PS：芬森最后的防守，真是一波骚操作...詹姆斯依然是那个詹姆斯卢指导也依然是那个卢指导 科沃尔两颗救命三分太关键了,1
60楼,2018-04-23 11:17,悟悟悟悟能,46分钟........真不拿詹姆斯当人第一节看到JR超远三分，我就在想会不会最后只赢了3分，想不到最后两分险胜，恭喜JR在第一节完成绝杀,1
61楼,2018-04-23 11:17,白流苏macrame,输在奥迪了啊，路漫漫其修远兮，下场天王山加油。发自手机虎扑 m.hupu.com,0
62楼,2018-04-23 11:17,hitpoint,第一轮打的就这么费劲发自手机虎扑 m.hupu.com,0
63楼,2018-04-23 11:17,相思相见知何日,泰伦卢：还有进步空间，这场46，下场48,0
64楼,2018-04-23 11:17,timberwolves21,兰斯太有意思了，活宝一枚。。。,267
65楼,2018-04-23 11:17,意剑落花,詹科合璧，天下无敌,0
66楼,2018-04-23 11:17,我是你月叔,,2
67楼,2018-04-23 11:17,lixu05234010,我26号，上场26分钟我23号，上场23×2分钟第四节连得14分，我们很膨胀！！发自手机虎扑 m.hupu.com,3
68楼,2018-04-23 11:17,陆可安1,世界上只有三件事是不可避免的：死亡，税收，詹姆斯赢东决,1
69楼,2018-04-23 11:18,goclevego,快请如来佛祖发自手机虎扑 m.hupu.com,2
72楼,2018-04-23 11:18,但求轻虐,通过这场比赛，奥拉迪波会多不少“铁”粉，今天注定又是来自下水道里的末日......,0
73楼,2018-04-23 11:18,看你妹啊啊啊,太苦了啊，天命泰伦鲈,1
74楼,2018-04-23 11:18,脚气大魔王,其他的都不说了得分，篮板，助攻，盖帽，上场时间，甚至是犯规都是34岁的詹姆斯,1
75楼,2018-04-23 11:18,jackynicq,46分钟艾佛森看了都流泪队友堪称CBA2.0还好有我科续命三分速效救心丸已经吃完了,2
76楼,2018-04-23 11:18,柳若渊,有请新任垃圾兄弟。。奥迪,0
77楼,2018-04-23 11:18,线下移动支付业务,詹科合璧，毁天灭地发自手机虎扑 m.hupu.com,0
78楼,2018-04-23 11:18,紫惠群,詹科联手，天下我有发自手机虎扑 m.hupu.com,0
79楼,2018-04-23 11:18,里奇_保罗,草泥马终于赢了·····,0
80楼,2018-04-23 11:18,紫金新生,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。老詹这首轮打得跟打总决赛一样累，万一卢指导下定决心，老詹岂不是要打满全场了？发自虎扑Android客户端,1245
81楼,2018-04-23 11:18,赢球才能蜜,难难难啊！现在看骑士的球，领先10多分感觉根本不稳。速效救心丸有点缺货啊！！！！,2
82楼,2018-04-23 11:18,暴走的熊本熊,希望疾病早日战胜泰伦鲈发自手机虎扑 m.hupu.com,0
83楼,2018-04-23 11:18,骑士状元艾顿,一声詹密  一生詹密！  不管前方路有多难  永远支持老詹！,3
84楼,2018-04-23 11:18,南盟_卢卡东契奇,权力榜害死了奥拉迪波,0
85楼,2018-04-23 11:18,lianghongkg,跟G2的剧情如出一辙，奥拉迪波疯狂打铁，最后进个无关痛痒的三分。大比分平了，步行者有点悬发自虎扑iPhone客户端,0
86楼,2018-04-23 11:18,ktif,詹姆斯在系列赛的第四场，终于找到了能帮助自己的队友——奥拉迪波发自虎扑iPhone客户端,0
87楼,2018-04-23 11:18,liebendich,科沃尔成功给泰伦卢续命发自手机虎扑 m.hupu.com,0
88楼,2018-04-23 11:18,zhidongni,詹科联手  天下无敌了。。。。。。。。。。。。。。。。。。。,0
89楼,2018-04-23 11:18,约基骑,焦灼啊，真精彩,0
90楼,2018-04-23 11:18,亦风Tlr,将军百战死，壮士十年归发自虎扑iPhone客户端,0
91楼,2018-04-23 11:18,FENOM,泰伦卢还是一如既往的稳定,0
92楼,2018-04-23 11:18,流转浮生,感谢奥拉迪波，真是头铁啊,0
93楼,2018-04-23 11:18,staple_xu,奥迪最后五分钟龟龟附体啊，拯救了骑士队,0
94楼,2018-04-23 11:18,名字要来作甚,老詹真的太累了发自虎扑Android客户端,0
95楼,2018-04-23 11:18,snapelll,詹姆斯牛逼！！泰伦卢鬼神轮换科沃尔追命三分jr们，快醒来，助骑士，勿负众望！发自虎扑Android客户端,0
96楼,2018-04-23 11:18,Joshua徐,反正奥迪迟早要成为巨星，那就提前给你来个巨星三明治套餐～发自虎扑iPhone客户端,0
97楼,2018-04-23 11:18,我是登泡哥,老詹真的真的不容易，都快打满全场了，一个人扛着球队前进，今天科沃尔最后三分硬啊！罚球也是稳！发自虎扑iPhone客户端,0
98楼,2018-04-23 11:18,young94,鲈鱼：老子就是命硬。发自虎扑Android客户端,0
99楼,2018-04-23 11:18,flaming月,骑士像一艘老迈的战列舰，曾经无敌于海上，曾经辉煌无比，也进行过现代化改造，但无法抵御岁月的消磨和时光的更替。步行者们代表了新时代的驱逐舰护卫舰们，崭新，虽依然有待改进，但未来是属于他们的。——写在共和国海军节之日4.23发自虎扑iPhone客户端,0
100楼,2018-04-23 11:18,夜崖人,这样的詹姆斯，我们还能要求什么！11能过后，什么时候让我们失望过！发自手机虎扑 m.hupu.com,0
101楼,2018-04-23 11:18,King虎, 卢：二节后中场好好休息，第三节就按第二节打。结果习惯性第三节剧本......发自虎扑iPhone客户端,0
102楼,2018-04-23 11:18,波士顿名宿大师兄,还能要求那个男人怎么样！！！发自虎扑Android客户端,0
104楼,2018-04-23 11:18,三官看球,卢：我就是死艹詹姆斯，我就是懵逼、就是能前排看球。最重要的，我就是命硬！怎么地！说着说着，我一骑士球迷怎么特么就想哭呢！发自虎扑Android客户端,0
105楼,2018-04-23 11:18,好名都让猪注册了,最后抱摔看笑了我一个吃瓜围观群众,0
106楼,2018-04-23 11:18,LBJ克成之子,詹姆斯上场时间48分钟，泰伦卢使用了核武器。发自虎扑iPhone客户端,0
107楼,2018-04-23 11:18,fyclucifer,科沃尔牛逼！！！发自虎扑iPhone客户端,0
108楼,2018-04-23 11:18,比小托马斯再小点,科沃尔三分终结了比赛发自虎扑Android客户端,0
109楼,2018-04-23 11:18,woal92,克利夫兰骑士队今日mvp必须是 奥拉迪波！！！！发自虎扑Android客户端,0
110楼,2018-04-23 11:18,东北の鸭王,周杰伦，果然不错发自虎扑Android客户端,0
111楼,2018-04-23 11:18,鹏鹏324,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。科沃尔：你们这是自寻死路.jpg发自虎扑iPhone客户端,62
112楼,2018-04-23 11:18,新流氓詹,卢的命真硬啊！！！发自虎扑iPhone客户端,0
113楼,2018-04-23 11:18,如墨在腾,詹科联手，比赛带走！,0
114楼,2018-04-23 11:18,北方的先生,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。上半场张指导成功的转移了大伙的注意力，老爷子很是辛苦啊！年龄大了，大伙得体谅啊，老爷子不容易！第三节的骑士让人绝望，问题全出来，内线被爆的渣都不剩，都不上内线，让乐福顶内线，神了！！第四节我都不敢看，不夸张心跳剧烈运动，空气凝聚！感谢蜗壳拯救了破骑，感谢老詹最后时刻再次发力，感谢全队的努力，我们还有两场可以打！王子星说詹姆斯大部分得分都是上半场得的张指导接过话：可是詹姆斯关键时刻又拿分了！这是褒义词！老詹不容易，大伙轻黑！！打的时间真长！！可也没办法，遛马是顽强的球队！大比分扳平，我内心不能平静发自虎扑iPhone客户端,75
115楼,2018-04-23 11:18,万年潜水15,战术明确，认真执行发自虎扑iPhone客户端,0
116楼,2018-04-23 11:18,青青子衿spurs,还能怎么说，老詹牛逼，科沃尔牛逼，泰伦卢命硬啊！发自虎扑iPhone客户端,0
117楼,2018-04-23 11:18,边睡边吃,骑士算是逃过一劫吧虽然不太厚道但我还是想笑一笑芬森…发自虎扑iPhone客户端,0
118楼,2018-04-23 11:18,ArnoldChow,老汉，下场还得40多分钟，，，,0
119楼,2018-04-23 11:18,Splendid俊少,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。詹姆斯拼了46分钟奥拉迪波20投5中才赢3-5分。。。真tm艰难什么打法啊卢指导发自虎扑iPhone客户端,114
120楼,2018-04-23 11:18,最怕一碗水端不平,就想说一句，卢指导是真的不怕累死老詹啊！！！,0
122楼,2018-04-23 11:18,刚果彭于晏,比分焦灼的时候奥迪和那个2号瞎几把扔中投发自虎扑Android客户端,0
123楼,2018-04-23 11:18,无球控卫小库里,什么？老汉得分没到40+  骑士竟然赢球了？？？我只想说，詹科联手，天下无敌！！！发自虎扑iPhone客户端,0
124楼,2018-04-23 11:18,LLLLL丶,詹科联合，恭喜骑士啊发自虎扑iPhone客户端,0
125楼,2018-04-23 11:18,过气笑匠,这位代表，咱再讨论讨论？,0
126楼,2018-04-23 11:18,钰树临沨,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。骑士这赛季前三节有两种套路1.一上来就落后，全场落后到第四节2.慢慢领先，半场领先十分左右，第三节被追分第四节有两种套路 对应以上两种1.詹姆斯爆种carry追分 骑士险胜 或詹姆斯carry不动 输球2.被反超 詹姆斯组织加得分一把抓 险胜 或被反超 詹姆斯累了 队友不给力 输球今天前三节属于第二种 第四节属于第二种中的第一种说实话一个赛季下来 输赢是真的看淡了 怎么样都无所谓 习惯了 佛了。发自虎扑Android客户端,95
127楼,2018-04-23 11:18,ntmf,赢了开心！斯蒂芬森真Crap,0
128楼,2018-04-23 11:18,改ip以登录,看到詹姆斯这么打球，虽然赢了，但是心累发自虎扑Android客户端,0
129楼,2018-04-23 11:18,月却足果纟冬纟吉禾呈,我说一句科沃尔牛逼，谁不服？发自虎扑iPhone客户端,0
130楼,2018-04-23 11:18,王博功,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。詹姆斯太累了吧也，好在赢了发自虎扑Android客户端,7
131楼,2018-04-23 11:18,520分分,感谢科老铁的三分,0
132楼,2018-04-23 11:18,天才眼镜哥,都33了还上场46分钟拼尽全力，不知道骑士落后的时候为什么有那么多黑他的，最后祝贺老汉100场30+发自虎扑iPhone客户端,0
133楼,2018-04-23 11:18,骑士詹欧乐,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。泰伦卢命真的硬发自虎扑iPhone客户端,58
134楼,2018-04-23 11:18,darksaber,科沃尔牛逼，老詹牛逼发自虎扑Android客户端,0
135楼,2018-04-23 11:18,风殇逝起,感谢杰伦老师！！！！发自虎扑Android客户端,0
136楼,2018-04-23 11:18,步行街偶遇周杰伦,解说: 今天詹姆斯打了46分钟，如果今天骑士赢了的话，大比分2-2，最少剩下两场比赛詹姆斯还是要打满。82场常规赛全勤，季后赛不能多歇。          每次当骑士第四节出现问题时，都会把镜头切到太轮卢，好像在说，卢指导，你得做点什么啊！杰伦续命三分，刷刷刷。发自虎扑Android客户端,0
137楼,2018-04-23 11:18,我爱冼澡身体好好哦哦,奥迪这命中率，锅背好吧。发自虎扑Android客户端,0
138楼,2018-04-23 11:18,别棍王,詹姆斯还可以继续挖一下，毕竟没有打满48分钟发自虎扑iPhone客户端,0
139楼,2018-04-23 11:18,苏打绿115,引用2楼 @黄小葵 发表的:这次关键时刻 终于有人站出来为老詹分担了，科沃尔连续两个三分球 太厉害了詹科联手！天下我有！发自虎扑iPhone客户端,19
140楼,2018-04-23 11:18,东部王勒布朗詹姆斯,师弟这个摔人动作没吹恶意？,0
141楼,2018-04-23 11:18,能说什么呢,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。一场不值得庆祝的胜利发自虎扑Android客户端,13
142楼,2018-04-23 11:18,Henrycle,老科牛逼！噢，是科沃尔！发自虎扑iPhone客户端,0
143楼,2018-04-23 11:18,乐邦yr,引用9楼 @登等瞪等凳 发表的:杰伦最后两个三分一个盖帽，老詹一个跳投一个挑篮，詹科联手，天下我有，合力扳平大比分，太牛逼了！！！卢指导：说出来你们可能不信，我的季后赛秘密武器就是让老詹打满全场。。。绝地逢生啊 惊心动魄的比赛 上课看科沃尔两记三分 老詹一记转身都叫出来了发自虎扑iPhone客户端,1
144楼,2018-04-23 11:18,姚大囍,发自虎扑Android客户端,1
145楼,2018-04-23 11:18,麦科詹韦,詹科联手，天下我有！！！论命硬，泰伦卢独一档的存在！！作为一个科密，感觉老詹真累呀！发自虎扑Android客户端,0
146楼,2018-04-23 11:18,cupsule233,本场最佳镜头 强人锁男发自虎扑iPhone客户端,0
147楼,2018-04-23 11:18,小木很健康,科沃尔牛逼！发自虎扑iPhone客户端,0
148楼,2018-04-23 11:18,哈灯的登,引用2楼 @黄小葵 发表的:这次关键时刻 终于有人站出来为老詹分担了，科沃尔连续两个三分球 太厉害了终于还是等到老科的美如画了当老汉身兼数职，怒卄46分钟，总得赢一把吧发自虎扑iPhone客户端,18
149楼,2018-04-23 11:18,科比的菜,骑士赢了我也要说 泰伦卢 mmp 扑领母发自虎扑iPhone客户端,0
150楼,2018-04-23 11:18,帅帅帅帅帅弊了,卢：下一场比赛我们球队还有进步空间。什么，还有多少进步空间？两分钟吧…发自虎扑Android客户端,0
152楼,2018-04-23 11:18,好甜的中药,看这架势能打到抢七!发自虎扑Android客户端,0
153楼,2018-04-23 11:18,四肢瘫痪听嗨曲,楼下谁上一个你们这是自寻死路.jpg发自虎扑Android客户端,0
154楼,2018-04-23 11:18,长烟孤城,真心觉得不容易发自手机虎扑 m.hupu.com,0
155楼,2018-04-23 11:18,蔡广谦,亮点自寻。。发自虎扑Android客户端,1
156楼,2018-04-23 11:18,懂球朱锅,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。知道我泰伦卢的秘密武器了吗？就是打满全场詹发自虎扑iPhone客户端,9
157楼,2018-04-23 11:18,Nowwhisky,詹科联手 天下我有发自虎扑Android客户端,0
158楼,2018-04-23 11:18,仧掵岽,恭喜奥迪成功带领骑士扳平大比分！发自虎扑Android客户端,0
159楼,2018-04-23 11:18,C罗K5,詹科联手天下我有ps：这种球迷我也是服了发自虎扑Android客户端,0
160楼,2018-04-23 11:18,昨晚咬了狗,詹科联手！！！发自虎扑Android客户端,0
161楼,2018-04-23 11:18,秋林鸿渡,今天奥迪的出手选择咋跟威少似的。。。发自虎扑Android客户端,0
162楼,2018-04-23 11:19,过气笑匠,引用125楼 @过气笑匠 发表的:这位代表，咱再讨论讨论？,1
163楼,2018-04-23 11:19,大苹果城铁卫罗斯,杰伦真牛批发自虎扑iPhone客户端,0
164楼,2018-04-23 11:19,圣城mvpKawhi,卢：我这条命是詹姆斯给的！！！发自虎扑iPhone客户端,0
165楼,2018-04-23 11:19,L詹大师,骑士的比赛一场球要说一千个詹姆斯……发自虎扑Android客户端,0
166楼,2018-04-23 11:19,咖喱泡椒饭,陈奕迅 张震岳 周杰伦本场关键先生 周杰伦发自虎扑iPhone客户端,0
167楼,2018-04-23 11:19,区哥一挑五,科沃尔第四节大心脏啊！发自虎扑iPhone客户端,0
168楼,2018-04-23 11:19,七指掀涛御清绝,套用群里老哥一句话别人都是绝杀 我詹绝篮板发自虎扑iPhone客户端,0
169楼,2018-04-23 11:19,开普勒452b,奥拉迪波成“龟”化球员了啊！发自虎扑Android客户端,0
170楼,2018-04-23 11:19,Parmiraiko,杰伦续命啊发自虎扑Android客户端,0
171楼,2018-04-23 11:19,请不要叫我球迷,氛森是大哥发自虎扑Android客户端,0
172楼,2018-04-23 11:19,幸福过了头,引用3楼 @道阻且临之 发表的:差那么一点泰伦卢和乐福就不能呼吸了看球晚，这就是你们说的我科吧??发自虎扑Android客户端,1
173楼,2018-04-23 11:19,骑士再进总决,这恐怕是老詹最累的一轮季后赛了，甚至比15年总决赛都累呀，唉！发自虎扑Android客户端,0
174楼,2018-04-23 11:19,Kyle康神,这张图又有用武之地了发自虎扑iPhone客户端,0
175楼,2018-04-23 11:19,蝶澈风起,抢赛后啊，水岸新城发自虎扑iPhone客户端,0
176楼,2018-04-23 11:19,现科尼克杨,这么多年了关键时刻果然还得靠我科发自虎扑Android客户端,0
177楼,2018-04-23 11:19,zycmb,分孙真是……人中奇葩发自虎扑Android客户端,0
178楼,2018-04-23 11:19,iameasy81,引用2楼 @黄小葵 发表的:这次关键时刻 终于有人站出来为老詹分担了，科沃尔连续两个三分球 太厉害了,822
179楼,2018-04-23 11:19,狂飙的企鹅,我就知道会赢，硬气！！骑士是不会倒在第一轮的，不会！！,0
180楼,2018-04-23 11:19,小青年,詹皇：老子不出场40+是不是就赢不了球了？发自虎扑Android客户端,0
181楼,2018-04-23 11:19,嘘嘘嘘须臾,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。恶心死了 卢教练真的恶心 死艹老詹 今天下半场根本没歇 比赛极其丑陋 有打到最后时刻 服发自虎扑Android客户端,10
183楼,2018-04-23 11:19,Young_7,最佳男配角：史蒂芬森 ！发自虎扑iPhone客户端,0
184楼,2018-04-23 11:19,唯侠不破,奥迪垃圾变奥拓，上不了大台面,1
185楼,2018-04-23 11:19,给羊撸管子,20投20投，感谢奥迪，哈哈,0
186楼,2018-04-23 11:19,Splendid俊少,引用3楼 @道阻且临之 发表的:差那么一点泰伦卢和乐福就不能呼吸了卢的命今天是詹姆斯和科沃尔给的。发自虎扑iPhone客户端,15
187楼,2018-04-23 11:19,Ronalmeney,奥迪 打的太上头了各种顶着两三个人冲击篮筐 好几次追分或者拉开比分机会被他葬送 对比詹皇还能带动队友 主场拿下天王山 相信骑士整个凝聚力自信心会上一层believe in LBJ发自虎扑iPhone客户端,0
188楼,2018-04-23 11:19,星落之城,引用2楼 @黄小葵 发表的:这次关键时刻 终于有人站出来为老詹分担了，科沃尔连续两个三分球 太厉害了没想到拯救我詹的居然是老科！发自虎扑Android客户端,18
189楼,2018-04-23 11:19,刺猬仔童鞋,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。骑士詹姆斯，广东易建联~,11
190楼,2018-04-23 11:19,tc941,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。感谢步行者今天不杀之恩，感谢科沃尔救命之恩。詹姆斯全场46分钟，别的不说了。,4
191楼,2018-04-23 11:19,success_2010,还好最后师弟和格林是吹的犯规罚球，不然以后整个nba都没人能护住球了。发自手机虎扑 m.hupu.com,1
192楼,2018-04-23 11:19,mrc19872512,科沃尔连续2个三分+奥拉迪波头硬~老詹46分钟牛逼。。。,0
193楼,2018-04-23 11:19,大魔王周绮,张卫平很失望的样子，结束时一声长唉发自虎扑Android客户端,0
194楼,2018-04-23 11:19,扬我古风,这比赛不容易呀。史蒂芬森真是人才。发自手机虎扑 m.hupu.com,0
195楼,2018-04-23 11:19,凌晨十二点的los,詹姆斯出场46分钟，我天，辛亏赢了，不然今天的大会主角就是卢教头。发自手机虎扑 m.hupu.com,0
196楼,2018-04-23 11:19,大个运球过半场,季后赛还真是检验球星的标杆,0
197楼,2018-04-23 11:19,随梦而聚,我想知道步行者的禁区是不是没有三秒？！！！都住里面啦？！！发自虎扑Android客户端,0
198楼,2018-04-23 11:19,astish,赢得真不容易   发自虎扑Android客户端,0
199楼,2018-04-23 11:19,老爷爷玩撸,七局四胜 变成三局两胜  骑士拿回主场优势发自手机虎扑 m.hupu.com,0
200楼,2018-04-23 11:19,骑士名帅泰伦卢,引用18楼 @助板高手 发表的:老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。 发自虎扑iPhone客户端,9
201楼,2018-04-23 11:19,碧血留香4,再来俩科沃尔詹姆斯仍能夺冠发自手机虎扑 m.hupu.com,0
