floornum,replytime,user,content,liang
19楼,2018/4/21 9:37,抬望眼那年花开,博格达诺维奇今天是伯德附身了！厉害极了！这没办法，但骑士到目前地步有3个问题，卢，少个内线防守大闸，少个突破能力强能给詹姆斯分担得分压力的后卫！,7
20楼,2018/4/21 9:37,jootoo8,博扬-博格达诺维奇关键时刻连得12分 屌爆爆爆爆爆爆  炸 了,9
21楼,2018/4/21 9:37,aliasj,逆转17分，守住主场，奥迪这3分球啊，第三节犯规早早到了，却不往内线杀了，处理球能力还是有很大的提升空间的博格达诺维奇在这种防守强度下还能这么准，第四节连得12分带走比赛，强无敌老詹连续得3分球也是吓人,32
22楼,2018/4/21 9:37,长胡哈登,博扬-波格丹诺维奇牛B，进攻各种进球防守限制詹姆斯,16
23楼,2018/4/21 9:37,无声_无息,好一场逆天（）而行 厉害 真的厉害,7
24楼,2018/4/21 9:37,劳伦蓝岛,所谓硬刚詹姆斯！赢球才算硬刚詹姆斯！,11
25楼,2018/4/21 9:37,24号爱打铁,最后时刻要是上点球，至于这么提心吊胆吗？,14
27楼,2018/4/21 9:37,tc941,一场让人看得很说不出话来的比赛。。。最后有种2k里把三分命中率调高强行作弊的感觉。。无奈还是输了。,8
28楼,2018/4/21 9:37,紅葉知弦,这比赛不累死詹姆斯不算完,7
29楼,2018/4/21 9:37,peter107,老詹尽力了！！！！！,6
30楼,2018/4/21 9:37,慕容5悔,西装白买了,7
31楼,2018/4/21 9:37,衔尾猫,王子星：“这个防守在干嘛？”苏群：“整场不都这样嘛！”,28
32楼,2018/4/21 9:37,救世神棍x,博格达牛笔牛笔,3
33楼,2018/4/21 9:38,yourgenius,老大尽力了,2
34楼,2018/4/21 9:38,hp_9d231,五秒没暂停了唉,2
35楼,2018/4/21 9:38,看球13年了,还是相信詹姆斯会打进总决赛,1
36楼,2018/4/21 9:38,LiangC4,博日天已经上线~~~~~~~~~~~~~~~~~~~~！,0
37楼,2018/4/21 9:38,永爱鱼总,尽管乐福最后续了下命，但他下半场简直就是罪人。伤病害人啊。,3
38楼,2018/4/21 9:38,smart_deng,詹姆斯和乐福连续续命，但是这内线防守空虚啊,3
39楼,2018/4/21 9:38,最爱麦迪1122,,3
40楼,2018/4/21 9:38,珍惜现在007,这赛季后 LBJ应该走了,0
41楼,2018/4/21 9:38,转角遇难,泰伦卢：我用实际行动证明，上场能赢确实不关我事,1
42楼,2018/4/21 9:38,比德恩帝大,为啥骑士的战术很多都是一个人打其他四个人看着,6
43楼,2018/4/21 9:38,DocterXu,1，还是用不好格林！格林优势在于冲击和低位。 2，勒布朗，下半场打的非常糟糕，全队绝大部分球权都靠你指挥，难道除了传3分/投3分就没有进攻手段了？ 我只说一句话：勒布朗不撕裂防守，寄希望于简单传球出机会？妄想！   关键时刻，勒布朗是进了3个三分，很好！可是，早干嘛去了？早把节奏带起来，何至于如此？,12
44楼,2018/4/21 9:38,RKO之父,詹姆斯：你还要我怎样 ，要怎样？发自虎扑iPhone客户端,8
45楼,2018/4/21 9:38,飞上天见乔丹,卢指导：对方得分依旧没到一百，我们防守不错发自虎扑Android客户端,5
46楼,2018/4/21 9:38,青春逼人,博格达诺维奇牛比！防守端全场单防詹姆斯的同时进攻端打出了超高效率！发自虎扑iPhone客户端,2
47楼,2018/4/21 9:38,野路狂奔,上半场骑士赢步行者，下半场步行者赢骑士，势均力敌。尽管骑士输了，系列赛还有机会！发自虎扑Android客户端,2
48楼,2018/4/21 9:38,饭饭是饭不是菜,看了比赛就想我费能不能操作一下把博格达诺维奇弄过来。发自虎扑iPhone客户端,2
49楼,2018/4/21 9:38,Way_kb,波各丹诺维奇，真的是大腿啊～！！！！！发自虎扑Android客户端,0
50楼,2018/4/21 9:38,木土丷三牛寺,奥拉迪波被包夹……奥拉迪波被包夹……奥拉迪波被包夹……库里你不是一个人在战斗！！！！发自虎扑iPhone客户端,8
51楼,2018/4/21 9:38,SKF轴承,金特里： 隆多，你去告诉队友怎么打泰伦卢：老詹，你自己去打对面五个发自虎扑iPhone客户端,6
52楼,2018/4/21 9:38,国家警卫队,骑士比赛看的真是服了，也是醉了，愣是被打懵了ps  老詹真的尽力了发自虎扑Android客户端,4
53楼,2018/4/21 9:38,糖豆儿她爹,詹姆斯已经很强大了，最后连续三个三分真的是无敌了，无奈渣渣带不动啊……发自虎扑iPhone客户端,5
54楼,2018/4/21 9:38,彩虹上面看星星,引用1楼 @东风乱舞 发表的:泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？骑士领先进入第四节不败记录终结。。步行者够硬！发自虎扑Android客户端,4004
55楼,2018/4/21 9:38,KanonStyle,一个个射手，玛德最准还是靠老詹，哎,1
56楼,2018/4/21 9:38,虎扑学院院长,发自虎扑Android客户端,5
57楼,2018/4/21 9:38,懂球朱锅,力尽关山未解围发自虎扑iPhone客户端,2
58楼,2018/4/21 9:38,PPPG13,这最后一块遮羞布也遮不住了发自虎扑iPhone客户端,0
59楼,2018/4/21 9:38,江门雷阿伦,心态崩了。。发自虎扑Android客户端,0
60楼,2018/4/21 9:38,kinggzc,那个身穿黄金战袍的44号就是你们说的硬刚詹姆斯的小前锋吧~~~,4
61楼,2018/4/21 9:38,rfgt2,下赛季菲尼克斯，太阳王朝发自虎扑Android客户端,0
62楼,2018/4/21 9:38,古怪的银根草,博格达诺维奇牛比！！！！发自虎扑iPhone客户端,0
63楼,2018/4/21 9:38,浮生灬若梦,很多人只会让卢指导背锅，但是看了直播就知道骑士的防守多么的松懈，最后时刻竟然还有让步行者轻松上篮的机会我是真的服。还有一点步行者真的惨，打着打着发现自己要打七个客场！发自虎扑Android客户端,13
64楼,2018/4/21 9:38,你好的的,博格达诺维奇真tm牛逼发自虎扑Android客户端,0
65楼,2018/4/21 9:38,湖蜜小可爱,jr???????     发自虎扑iPhone客户端,0
66楼,2018/4/21 9:38,张阿春,舒服了。   发自虎扑iPhone客户端,1
67楼,2018/4/21 9:38,yijingyesi,没办法，最后几分钟骑士其他人得分就乐福最后一个三分？ 这打个锤子,1
68楼,2018/4/21 9:38,全明星放假我不放假,我们成功把对手得分限制在100以下发自虎扑Android客户端,2
69楼,2018/4/21 9:38,能说什么呢,鲈鱼:今天我要给骑士球迷换配方先吃点巧克力再吃屎发自虎扑Android客户端,2
70楼,2018/4/21 9:38,雪霁之歌,传说中的主场哨在哪？发自虎扑Android客户端,5
71楼,2018/4/21 9:38,库里_King,詹姆斯真辛苦，心疼呀！！！教练队友是真心坑，带不动！发自虎扑Android客户端,1
72楼,2018/4/21 9:38,大臭球,一群神手速。。发自虎扑Android客户端,0
73楼,2018/4/21 9:38,answerhgl,实话实说这场比赛哨子有点偏主场,4
74楼,2018/4/21 9:38,追风少妇刘全有,队友cba 詹姆斯尽力了发自虎扑iPhone客户端,2
75楼,2018/4/21 9:38,flaming月,这满眼的金黄，恍惚间以为是熟悉的总决赛……发自虎扑iPhone客户端,4
76楼,2018/4/21 9:38,NashNice,引用1楼 @东风乱舞 发表的:泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？印第安纳逆转守住第一个主场。要说这场球开始的“模式”，该是克利夫兰赢球的策略——詹姆斯不再“一家独大”，帮手从旁协助。卢指导祭出最绝妙战术：包夹奥迪。但是难就难在，当奥迪渡过了“慌乱期”，却间接激活了另一神射！我一直不解，缘何波格丹诺维奇这级别的射手，会在生涯初期就辗转三队？发自虎扑Android客户端,2577
77楼,2018/4/21 9:38,MVP亚当萧华,我退出骑士球迷发自虎扑iPhone客户端,0
78楼,2018/4/21 9:38,hupu0577,真不能怪裁判发自虎扑iPhone客户端,0
79楼,2018/4/21 9:38,mellence,最后一分钟还是有点波澜啊。。。还好遛马不怂。。。,0
80楼,2018/4/21 9:38,三分排库里后面的人,波格丹诺维奇发自虎扑iPhone客户端,3
81楼,2018/4/21 9:38,饭得法西子,发自虎扑Android客户端,0
82楼,2018/4/21 9:38,解说员黄春,博格真强，巨星的作用啊发自虎扑Android客户端,1
83楼,2018/4/21 9:38,leanlou,下场关键了发自虎扑Android客户端,0
84楼,2018/4/21 9:38,yuoyi,卢指导不管怎样感觉都要下课了,0
85楼,2018/4/21 9:38,20manu,苏群：进一个跟进两个罚球没区别，这话也能说得出口，呵呵发自虎扑iPhone客户端,1
87楼,2018/4/21 9:38,贝影丿从未远去,今年冲出东部都很难发自虎扑Android客户端,0
88楼,2018/4/21 9:38,虎扑战豆瓣,大起大落太刺激了发自虎扑Android客户端,0
89楼,2018/4/21 9:38,Spizikexc,鲈鱼：我们把对手得分限制在100分以内我们防守做得不错我们就是没能投进球对手就是比我们投进更多的球我认为我们防守做得很好我们下一场要得更多分才行曾经我一直坚信有詹姆总决无詹乐透直至鲈鱼的出现终于改变了我的看法是真的带不动这条鲈愚发自虎扑iPhone客户端,0
90楼,2018/4/21 9:38,热火接班人温斯洛,波格丹诺围棋。真屌发自虎扑iPhone客户端,1
91楼,2018/4/21 9:38,找千过羊,死亡骑士，就是死掉的骑士。。。发自虎扑iPhone客户端,1
92楼,2018/4/21 9:38,库里躲在被窝哭着说,功亏一篑克利夫兰喂了屎的一早上发自虎扑Android客户端,1
93楼,2018/4/21 9:38,锅炉小青年,17分被逆转说啥好,0
94楼,2018/4/21 9:38,鸢尾Iris,骑士的下半场总是这么差劲啊发自虎扑Android客户端,1
95楼,2018/4/21 9:38,蓉儿不是小妖女,卢指导 裁判尽力了 博格丹诺维奇天神下凡啊 发自虎扑iPhone客户端,0
96楼,2018/4/21 9:38,我杜威Jay,心疼老詹，加油吧骑士发自虎扑iPhone客户端,0
97楼,2018/4/21 9:38,洛城紫金王者,可以可以很强势发自虎扑iPhone客户端,1
98楼,2018/4/21 9:38,优秀司机,詹姆斯也太累了吧发自虎扑Android客户端,1
99楼,2018/4/21 9:38,陌小竹,BBBBBBB SHOT发自虎扑iPhone客户端,0
100楼,2018/4/21 9:38,.Boone,当投进三分最多的人是詹姆斯的时候，骑士很难不输球。发自虎扑iPhone客户端,4
101楼,2018/4/21 9:38,扎伊尔丶韦德3,套用解说的一句话。还能要求詹姆斯做什么？发自虎扑Android客户端,5
102楼,2018/4/21 9:38,佐兰德拉季奇,jr干啥不传球呢…………发自虎扑iPhone客户端,1
103楼,2018/4/21 9:38,湖人名宿富儿子,詹姆斯牛逼！裁判总冠军！发自虎扑Android客户端,1
104楼,2018/4/21 9:38,三番十年火蜜,预测4-1的全被打脸了。,0
105楼,2018/4/21 9:38,03状元LeBron,引用1楼 @东风乱舞 发表的:泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？泰伦卢下课！！！发自虎扑Android客户端,20
106楼,2018/4/21 9:38,大萌蛋,卢指导牛逼，带队赢下骑士队！发自虎扑iPhone客户端,0
107楼,2018/4/21 9:38,xueyue1896,看得惊心动魄，结果是好的，爽爽爽！发自虎扑Android客户端,1
108楼,2018/4/21 9:38,难得的中老年球迷,今天的比赛骑士有点冤。,2
109楼,2018/4/21 9:38,农村高富帅001,引用2楼 @牛顿说詹在巨人肩膀上 发表的:真的想要让老詹场场拿45分才能赢球么，今天又打了42分钟了，又要进攻又要防守还要被对面打死，还想要老詹做什么！！鲈鱼这种教练真是浪费老詹的巅峰少一分都不行，是46分。手动滑稽发自虎扑iPhone客户端,24
110楼,2018/4/21 9:38,徐伊拉,卢指导真牛逼，打了一整场三分铁的奥迪把他当库里夹，结果博扬生生投成了杜兰特发自虎扑Android客户端,1
111楼,2018/4/21 9:38,Splendid俊少,引用2楼 @牛顿说詹在巨人肩膀上 发表的:真的想要让老詹场场拿45分才能赢球么，今天又打了42分钟了，又要进攻又要防守还要被对面打死，还想要老詹做什么！！鲈鱼这种教练真是浪费老詹的巅峰卢指导疯狂包夹奥迪双钻。。。然而奥拉迪波出球速度不慢。。一旦快速出球就是4打3。。。发自虎扑iPhone客户端,23
112楼,2018/4/21 9:38,颜.色┌,悲催.........发自虎扑iPhone客户端,0
113楼,2018/4/21 9:38,我听见雨,步行者的44号就是你们说的波神吧 太强了发自虎扑Android客户端,1
114楼,2018/4/21 9:38,wtlojys,老詹遇到了大问题发自虎扑Android客户端,1
115楼,2018/4/21 9:38,四目相对的人,shh正义的裁判们去哪了?发自虎扑Android客户端,1
116楼,2018/4/21 9:38,无上萌神,骑士今年凉凉不是说说而已啊发自虎扑Android客户端,0
117楼,2018/4/21 9:38,1025762768,走远了，詹姆斯和勒夫太累了发自虎扑iPhone客户端,0
118楼,2018/4/21 9:38,小伟伟伟伟伟伟i,科林森这小伙子差点耽误了一场大逆转的好比赛发自虎扑iPhone客户端,0
119楼,2018/4/21 9:38,联盟第一人威金斯,詹皇真是尽力了 奈何队友不争气发自虎扑iPhone客户端,0
120楼,2018/4/21 9:38,战斧式爆传,波格丹诺维奇牛逼！！！发自虎扑iPhone客户端,0
121楼,2018/4/21 9:38,屠姬神剑,诶，怎么有点心疼詹姆斯？发自虎扑Android客户端,0
122楼,2018/4/21 9:38,Lzero0,刺激刺激步行者真的强硬啊发自虎扑Android客户端,0
123楼,2018/4/21 9:38,里奇_保罗,真服了。。。。。发自虎扑Android客户端,0
124楼,2018/4/21 9:38,亲爱的户用,博格丹牛逼发自虎扑iPhone客户端,0
125楼,2018/4/21 9:38,kuromezz,哎      只能靠老詹发自虎扑iPhone客户端,0
126楼,2018/4/21 9:38,左D手,乐福牛逼，666发自虎扑Android客户端,0
127楼,2018/4/21 9:38,胖胖胖胖胖蛋丶,我竟然天真的以为今天上半场领先17分可以吃顿饺子，果不其然最后还是屎味的饺子。发自虎扑iPhone客户端,2
128楼,2018/4/21 9:38,湖人111111,#NAME?,0
129楼,2018/4/21 9:38,李月海,好气啊，jr剧毒吧发自虎扑Android客户端,0
130楼,2018/4/21 9:38,天召大帝,丑陋的比赛！发自虎扑Android客户端,0
131楼,2018/4/21 9:38,巴托的鸭舌帽,JR到底是听了多少首梁静茹的《勇气》？,0
132楼,2018/4/21 9:38,夜很安静安很夜,骑士这啥防守啊..发自虎扑iPhone客户端,0
133楼,2018/4/21 9:38,我曾经能扣篮,没有第二得分点，这比赛越拖越不利发自虎扑Android客户端,0
134楼,2018/4/21 9:38,往事就别提啦,呵呵呵呵呵呵发自虎扑iPhone客户端,0
135楼,2018/4/21 9:38,北缎,王子星：这个时候防守球员在干嘛?苏群：这不是整场都这样吗？王子星：这个时候，这个时候不能再这样了啊笑cry啊发自虎扑Android客户端,0
136楼,2018/4/21 9:38,wyvernyuna,苏群真的是，水平太差了。发自虎扑iPhone客户端,0
137楼,2018/4/21 9:38,任随风,就这么说吧，只要詹姆斯不开无双，骑士就赢不了，卢真特么厉害,1
138楼,2018/4/21 9:38,不说过往不叹时光,引用4楼 @凯文摩尔 发表的:JR真厉害，先是让达伦科里森跑到后场拖延了时间，再来一个惊天地泣鬼神的最后一球，大写的服关键时刻除了老詹身后除了乐福没有一个人可以站出来，哎！这下好了，有詹姆斯的球队第一次在季后赛首轮1-2落后，如果每场都要詹姆斯得40+才能赢球，今年还是到此为止吧。詹姆斯已经33岁了。不想再见到鲈鱼一脸懵逼的站在场边了，真心的。这么多年第一次想詹姆斯离开，哪怕是被黑发自虎扑Android客户端,99
139楼,2018/4/21 9:38,tc941,引用1楼 @东风乱舞 发表的:泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？一场让人看得很说不出话来的比赛。。。最后有种2k里把三分命中率调高强行作弊的感觉。。无奈还是输了。累了。。老詹累了。。骑蜜也累了。。不好意思，说错了。。。是詹密而已。,609
140楼,2018/4/21 9:38,飘零剑客,步行者没有一个超级巨星打成这样真了不起！,1
141楼,2018/4/21 9:38,碎楽步流琴,"要不是詹姆斯最后3个3分, 这比赛早就结束了",1
142楼,2018/4/21 9:38,金金和羊羊,如果步行者过了詹姆斯，如果爵士晋级……发自虎扑Android客户端,0
143楼,2018/4/21 9:38,冰箱教练,BB shot！,0
144楼,2018/4/21 9:38,年青小二犯,引用1楼 @东风乱舞 发表的:泰伦卢战术完胜。卢：我战术都画好了，两场比赛都证明，詹姆斯只要能拿46分我们就能赢，他拿不到46分你们老怪我这个教练？骑士从教练到球员是想直接在第一轮就把詹姆斯累死。发自虎扑Android客户端,13
145楼,2018/4/21 9:38,迈克尔乔丹V1,其实这场内线漏人严重发自虎扑iPhone客户端,0
146楼,2018/4/21 9:38,车轮不息0701,詹姆斯真的尽力了！！！！！发自虎扑Android客户端,0
147楼,2018/4/21 9:38,我妈也黑科,骑士就这防守 算了吧发自虎扑iPhone客户端,0
148楼,2018/4/21 9:38,狂派震荡波,decision decision decision！发自虎扑Android客户端,1
149楼,2018/4/21 9:38,谭天伟校长,乔治离开之后步行者居然要跨过骑士了发自虎扑Android客户端,3
150楼,2018/4/21 9:38,欧加藤文,看的我真的难受 老詹下赛季去76人吧发自虎扑iPhone客户端,1
151楼,2018/4/21 9:39,哐哐哐铁含量,骑士到底平时练不练防守啊不会日常训练都练体力的吧发自虎扑iPhone客户端,0
152楼,2018/4/21 9:39,jeffjimmy,真的心疼老詹，明年赶紧走吧发自虎扑iPhone客户端,0
153楼,2018/4/21 9:39,米兰荣誉市民,骑士真的是黔驴技穷拿不出东西了发自虎扑Android客户端,1
154楼,2018/4/21 9:39,爱猪头肉的光头,我们又限制对手得分100以下了发自虎扑Android客户端,0
155楼,2018/4/21 9:39,筱川桃音,不知道为什么苏指导说肯定会罚进，我就觉得会丢发自虎扑Android客户端,0
156楼,2018/4/21 9:39,步行街新绿,被活活奶输了发自虎扑iPhone客户端,0
157楼,2018/4/21 9:39,sneaker潮范,真是心疼老詹发自虎扑iPhone客户端,0
158楼,2018/4/21 9:39,不再是鱼,詹姆斯又打了42分钟……发自虎扑Android客户端,1
159楼,2018/4/21 9:39,inspop,欧洲炮台就是好用发自虎扑iPhone客户端,0
160楼,2018/4/21 9:39,我爱我登13,今天 JR 们 要躺枪了！！！！发自虎扑iPhone客户端,0
161楼,2018/4/21 9:39,mingnaj,请各位代表准备材料入场发自虎扑Android客户端,0
162楼,2018/4/21 9:39,啊哈地球人,下半场直接睡过去了，醒的太晚，醒的太晚发自虎扑Android客户端,0
163楼,2018/4/21 9:39,我是渔民,詹姆斯最后俩三分多少人认为开始了发自虎扑iPhone客户端,0
164楼,2018/4/21 9:39,Lollipoppp,心疼老詹，第四节这表现都输了,0
165楼,2018/4/21 9:39,Mannoroth,骑士回主场连扳三局就解决了，不知道你们担心什么,0
167楼,2018/4/21 9:39,sabotage7,老詹最后三个3分已经续命了，还是差了一口气没翻过来 主要是今天博格丹太神了,0
168楼,2018/4/21 9:39,邻居家的金毛,啥也不说了，卢指导牛逼发自虎扑Android客户端,0
169楼,2018/4/21 9:39,狮王_诙,骑士比赛真的是把人生的大起大落体现的淋漓尽致发自虎扑Android客户端,0
170楼,2018/4/21 9:39,叔本帅,引用4楼 @凯文摩尔 发表的:JR真厉害，先是让达伦科里森跑到后场拖延了时间，再来一个惊天地泣鬼神的最后一球，大写的服关键时刻除了老詹身后除了乐福没有一个人可以站出来，哎！这下好了，有詹姆斯的球队第一次在季后赛首轮1-2落后，如果每场都要詹姆斯得40+才能赢球，今年还是到此为止吧。詹姆斯已经33岁了。不想再见到鲈鱼一脸懵逼的站在场边了，真心的。JR完全眼里只有篮筐发自虎扑iPhone客户端,18
171楼,2018/4/21 9:39,其实主帅泰伦卢,唉，老詹太累了发自虎扑iPhone客户端,0
172楼,2018/4/21 9:39,弹夜曲的肖邦,苏指导：你看，两罚全中两罚一中是一回事。。。发自虎扑Android客户端,0
173楼,2018/4/21 9:39,麦科佐敦,发自虎扑Android客户端,0
174楼,2018/4/21 9:39,虎扑战豆瓣,引用4楼 @凯文摩尔 发表的:JR真厉害，先是让达伦科里森跑到后场拖延了时间，再来一个惊天地泣鬼神的最后一球，大写的服关键时刻除了老詹身后除了乐福没有一个人可以站出来，哎！这下好了，有詹姆斯的球队第一次在季后赛首轮1-2落后，如果每场都要詹姆斯得40+才能赢球，今年还是到此为止吧。詹姆斯已经33岁了。不想再见到鲈鱼一脸懵逼的站在场边了，真心的。那个三分乐福投的，发自虎扑Android客户端,283
175楼,2018/4/21 9:39,Dior我你在,赛迪斯杨最后进的那个 解说1:这什么防守。解说2:能什么防守 一整场都这样啊发自虎扑iPhone客户端,1
176楼,2018/4/21 9:39,我的老婆是杰西卡,这个裁判也太偏骑士了吧！ 还好最后的结果是正义的！,0
177楼,2018/4/21 9:39,超级神登,老詹日常无敌，奈何一人无力回天，波格丹诺维奇今天神勇表现堪比老司机啊，不错不错，前途无量啊！发自虎扑Android客户端,0
178楼,2018/4/21 9:39,晴朗依旧_nash,恭喜步行者，加油！！发自虎扑iPhone客户端,0
179楼,2018/4/21 9:39,超级伟少,赛后卢：下半场我们防守强度不足，对手痛击了我们。qnmlgb 你让场上就老詹一个组织点打满下半场，拿命打，内线被锤爆不上南斯，希尔表现那么好那么点上场时间。这么打过了首轮毫无意义。发自虎扑Android客户端,1
180楼,2018/4/21 9:39,安孤独患者,一帅无能，累死三军啊发自虎扑Android客户端,0
181楼,2018/4/21 9:39,苔藓里,有心杀敌，无力回天。发自虎扑Android客户端,0
182楼,2018/4/21 9:39,丿谢广坤,卢指导牛逼发自虎扑iPhone客户端,0
183楼,2018/4/21 9:39,Cheenjug,最后一个球没有看懂 JR为什么自己投？？？发自虎扑iPhone客户端,0
184楼,2018/4/21 9:39,木糖没我醇,泰伦卢下课！发自虎扑Android客户端,0
185楼,2018/4/21 9:39,全明星放假我不放假,我们成功把对手得分限制在100以下发自虎扑Android客户端,0
186楼,2018/4/21 9:39,哈登娇妻王育敏,会议代表人呢？发自虎扑iPhone客户端,0
187楼,2018/4/21 9:39,我叫皇阿玛,会议开始...发自虎扑iPhone客户端,0
188楼,2018/4/21 9:39,焰焰焰乀,JR这锅背稳了 不接受任何反驳!!发自虎扑Android客户端,0
189楼,2018/4/21 9:39,神龟卡哇伊,凉了 第三节打得不太好 包夹没问题 就是对面的神经刀博格丹诺维奇爆种了发自虎扑iPhone客户端,0
191楼,2018/4/21 9:39,布雷迪爱国者,最后为什么不传给胡德啊？非要自己来？,0
192楼,2018/4/21 9:39,北方的先生,引用3楼 @舒槑i楚南 发表的:当被防的只有詹姆斯敢运球的时候，这比赛就真的难了，作为骑士球迷看球，领先了也累，落后了也累。卢，您还能下课吗？我的个亲娘，心惊胆战！这分明就是两场比赛嘛，前松后紧，血压骤升，瞬间无力！鬼才导演（卢）大片，师奶大片也！！我强烈要求撤档，这导演受不了。没有勒布朗，你还有什么？？发自虎扑iPhone客户端,506
193楼,2018/4/21 9:39,hhlwtl,引用4楼 @凯文摩尔 发表的:JR真厉害，先是让达伦科里森跑到后场拖延了时间，再来一个惊天地泣鬼神的最后一球，大写的服关键时刻除了老詹身后除了乐福没有一个人可以站出来，哎！这下好了，有詹姆斯的球队第一次在季后赛首轮1-2落后，如果每场都要詹姆斯得40+才能赢球，今年还是到此为止吧。詹姆斯已经33岁了。不想再见到鲈鱼一脸懵逼的站在场边了，真心的。赶走那谁谁扶正鲈鱼 怪谁啊，赢了就是冠军教头，输了就是浪费老詹巅峰，,251
194楼,2018/4/21 9:39,凯尔特我,博杨简直统治攻防啊发自虎扑iPhone客户端,1
